
========================================
Name of customer:	Mr nimal
Selected loan:	Vehicle
Maximum repay period:	60
Anual interest rate:	14%
Requested loan amount:	450000
Requested repay period:	60
Monthly repay calculation
--------------------------------
Month		Remaining Loan Amount		Interest		Repaid Loan Amount
	1					450000					5250			5220.71
	2					444779					5189.09			5281.62
	3					439498					5127.47			5343.24
	4					434154					5065.13			5405.58
	5					428749					5002.07			5468.64
	6					423280					4938.27			5532.44
	7					417748					4873.72			5596.99
	8					412151					4808.43			5662.29
	9					406488					4742.37			5728.35
	10					400760					4675.53			5795.18
	11					394965					4607.92			5862.79
	12					389102					4539.53			5931.19
	13					383171					4470.33			6000.38
	14					377171					4400.32			6070.39
	15					371100					4329.5			6141.21
	16					364959					4257.85			6212.86
	17					358746					4185.37			6285.34
	18					352461					4112.04			6358.67
	19					346102					4037.86			6432.85
	20					339669					3962.81			6507.9
	21					333161					3886.88			6583.83
	22					326578					3810.07			6660.64
	23					319917					3732.36			6738.35
	24					313179					3653.75			6816.96
	25					306362					3574.22			6896.49
	26					299465					3493.76			6976.95
	27					292488					3412.36			7058.35
	28					285430					3330.01			7140.7
	29					278289					3246.71			7224.01
	30					271065					3162.43			7308.29
	31					263757					3077.16			7393.55
	32					256363					2990.9			7479.81
	33					248883					2903.64			7567.07
	34					241316					2815.36			7655.36
	35					233661					2726.05			7744.67
	36					225916					2635.69			7835.02
	37					218081					2544.28			7926.43
	38					210155					2451.81			8018.91
	39					202136					2358.25			8112.46
	40					194024					2263.61			8207.11
	41					185816					2167.86			8302.85
	42					177514					2070.99			8399.72
	43					169114					1972.99			8497.72
	44					160616					1873.85			8596.86
	45					152019					1773.56			8697.15
	46					143322					1672.09			8798.62
	47					134523					1569.44			8901.27
	48					125622					1465.59			9005.12
	49					116617					1360.53			9110.18
	50					107507					1254.25			9216.47
	51					98290.5					1146.72			9323.99
	52					88966.5					1037.94			9432.77
	53					79533.7					927.893			9542.82
	54					69990.9					816.56			9654.15
	55					60336.7					703.928			9766.78
	56					50569.9					589.983			9880.73
	57					40689.2					474.707			9996.01
	58					30693.2					358.087			10112.6
	59					20580.6					240.107			10230.6
	60					10350					120.75			10350

Total amount to be paid:	628243

========================================
